Name,Reviews,Price,Cuisines,Style,Phone,Link,District,Company KNN,RankingN,Ranking,Rating,Rating_G,Hotel,Tourism,Cafe,Pub,Museum,Restaurant,University,Luas,Company,Liffey,Price Area
Tang Cafe,502,Cheap,"['Cafe', 'European', 'Healthy']",European,+353 86 391 5401,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,1,4.227597551454314,1.0,1,5.0,5,0.9809388057251581,1.0398514251007909,0.6693574329038089,0.37479351227354,0.5573192031839642,0.4475165436338156,-0.1371959354319547,1.962461636996879,0.5704934468968474,1.4893231327910519,-0.7208200393883903
Glovers Alley,193,Expensive,"['Irish', 'European', 'Vegetarian Friendly']",,+353 1 244 0733,/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,2,3.7376370649439807,0.3333333333333333,3,5.0,5,0.26344547064852064,0.18125142698806096,0.7557090402849388,0.38447908926774416,0.7380243170716245,0.6376647498291023,0.8516439766892269,0.6551167491673093,0.34395363324543593,-0.6896533681468541,0.9528086274804286
Darkey Kelly's Bar & Restaurant,1645,Average,"['Irish', 'Bar', 'European']",,+353 83 346 4682,/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,8,3.7376370649439807,0.25,4,4.5,5,0.4796763387538093,0.1559984858670977,0.323951003379291,0.1035973564358449,0.9548704537368168,0.08659829238416247,0.1453297537455253,-0.6232762961650279,-0.5924109298470608,1.381458174152588,-1.589658273373694
Mulberry Garden,909,Expensive,"['Irish', 'European', 'Contemporary']",,+353 1 269 3300,/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,4,3.3415086388875594,0.2,5,4.5,5,-2.036464671925904,-2.066260332777614,-2.247407971969897,-1.87548887604638,-2.3339626190186,-1.988076084765687,-1.9736129150855797,-1.2320973164231208,-1.974303793120666,-1.2549733772037626,0.034482407838999446
The Landmark,468,Average,"['Irish', 'Bar', 'European']",,+353 1 537 9951,/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,8,4.70809196841936,0.16666666666666666,6,4.5,5,0.12584400912697438,-0.09653092534252822,0.15124778861703272,0.06485504845903176,0.2320499981861756,0.12414347959469713,0.781012554394857,-0.5269202743965737,0.07210585686374406,-0.8535409227741125,-1.589658273373694
1900 Restaurant,354,Average,"['French', 'Irish', 'European']",,+353 1 476 4667,/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,2,4.70809196841936,0.14285714285714285,7,4.5,5,-0.30661772708360113,-0.4248191599150426,0.026517689066512022,-0.35485328795644827,-0.5630525029195298,-0.211340935157497,-0.20782735772632596,1.648776798039262,0.7592766249396893,-1.0341274537428775,0.9528086274804286
Chapter One,2386,Expensive,"['Irish', 'European', 'Contemporary']",,+353 1 873 2266,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,1,2.1403419318582046,0.125,8,4.5,5,0.05704327836620106,-0.39956621879408,-0.856187630829478,-0.67447732876516,-0.3100653434768053,-0.6521941011134488,-0.772878736081287,-0.15065561148504947,-1.4004029318704254,-0.7661535421190936,-0.7208200393883903
Bloom Brasserie,1873,Average,"['Irish', 'European', 'Wine Bar']",,+353 1 668 7170,/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,4,4.47928335330697,0.1111111111111111,9,4.5,5,-0.6997647600023065,-1.1571544524229593,-0.856187630829478,-0.903702650961307,-1.2135909129151066,-0.844764577451351,-1.0554044252587675,-1.1370509172201397,0.9480598029825317,-1.0808255859722031,0.034482407838999446
Lemon and Duke Bar,992,Average,"['Irish', 'Bar', 'European']",,+353 1 679 6260,/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,2,4.70809196841936,0.1,10,4.5,5,0.3224175255863275,0.863080837254052,1.0723316006824122,0.7654451177064101,0.9548704537368168,0.8580913328070782,1.3460639327498183,1.43610911061037,0.8574438775219663,-0.5450061220997775,0.9528086274804286
Gerry's Coffee Shop,343,Cheap,"['Irish', 'Cafe', 'European']",,+353 1 478 3524,/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,2,4.70809196841936,0.09090909090909093,11,4.5,5,0.07670063001213655,-0.07127798422156585,0.09368005036294573,-0.03522924714773584,0.015203861520983327,0.058742185744088814,0.781012554394857,-0.48791703254160385,0.4723261943145691,-0.9201554740721125,0.9528086274804286
